term,freq
level_playing_field,116
eu_member_states,98
intellectual_property_rights,91
trade_investment_barriers,91
critical_raw_materials,63
eu_economic_security,49
trade_defence_instruments,48
eu_trade_policy,47
foreign_direct_investment,46
market_access_barriers,46
commission_member_states,45
wto_dispute_settlement,38
european_union_china,38
world_trade_organisation,36
free_trade_agreements,35
market_access_strategy,35
new_barriers_reported,35
protection_intellectual_property,31
doha_development_agenda,29
market_access_partnership,29
largest_trading_partner,28
eu_market_access,27
world_trade_organization,26
local_content_requirements,26
human_rights_dialogue,25
trade_flows_affected,25
economic_security_strategy,24
economic_trade_dialogue,24
enforcement_intellectual_property,23
global_value_chains,23
president_european_commission,23
china_european_union,23
global_trading_system,22
access_chinese_market,21
multilateral_trading_system,21
comprehensive_agreement_investment,21
market_access_eu,21
€_billion_eu,21
war_aggression_ukraine,20
trade_investment_relations,20
trade_investment_relationship,20
economic_social_reform,20
technical_barriers_trade,20
new_barriers_recorded,20
barriers_reported_per,20
member_states_european,19
trade_defence_measures,19
trafficking_human_beings,19
russia_war_aggression,18
global_supply_chains,18
free_trade_agreement,18
trade_flows_potentially,18
flows_potentially_affected,18
von_der_leyen,18
foreign_security_policy,17
european_parliament_council,17
fight_climate_change,17
human_rights_situation,17
eu_exports_china,17
government_procurement_agreement,17
illegal_migration_trafficking,17
investment_barriers_report,17
market_access_issues,17
barriers_third_countries,17
number_new_barriers,17
investment_barriers_reported,17
per_type_measure,17
breakdown_trade_investment,17
trade_investment_policy,17
eu_trade_commissioner,17
green_digital_transitions,16
security_public_order,16
high_level_economic,16
public_procurement_markets,16
respect_human_rights,16
migration_trafficking_human,16
trade_policy_can,16
worth_€_billion,16
behind_border_measures,16
president_european_council,16
state_aid_rules,15
rules-based_international_order,15
un_security_council,15
people_republic_china,15
five_year_plan,15
per_third_country,15
agriculture_fisheries_sector,15
member_states_commission,14
eu_trade_agreements,14
high-level_economic_trade,14
potentially_affected_trade,14
new_market_access,14
united_arab_emirates,14
european_economic_security,13
open_strategic_autonomy,13
member_states_eu,13
forced_technology_transfers,13
eu_trade_defence,13
market_economy_status,13
china_largest_trading,13
trade_deficit_china,13
greenhouse_gas_emissions,13
trading_partner_china,13
national_development_reform,13
development_reform_commission,13
eu_economic_operators,13
market_access_database,13
affected_trade_flows,13
barriers_resolved_per,13
ensure_level_playing,12
direct_investment_fdi,12
play_important_role,12
member_states_also,12
biggest_trading_partner,12
international_procurement_instrument,12
unfair_trading_practices,12
lesser_duty_rule,12
eu_china_agreed,12
international_trading_system,12
eu_trade_deficit,12
third_country_markets,12
improve_market_access,12
access_public_procurement,12
three_new_barriers,12
highest_number_new,12
breakdown_barriers_resolved,12
market_access_work,12
middle_east_region,12
prime_minister_wen,12
eu_china_can,12
access_raw_materials,11
critical_supply_chains,11
use_trade_defence,11
make_full_use,11
climate_change_eu,11
rights_situation_china,11
eu-china_connectivity_platform,11
agreement_geographical_indications,11
playing_field_eu,11
eu_internal_market,11
state_owned_enterprises,11
sanitary_phytosanitary_sps,11
highest_political_level,11
president_xi_jinping,11
analysis_new_barriers,11
sectors_economic_activity,11
trade_investment_agreements,11
ursula_von_der,11
trade_commissioner_peter,11
commissioner_peter_mandelson,11
states_european_parliament,10
eu_single_market,10
foreign_direct_investments,10
china_biggest_trading,10
civil_political_rights,10
south_china_sea,10
protection_enforcement_intellectual,10
negotiations_comprehensive_agreement,10
eu_state_aid,10
china_reform_process,10
relations_eu_china,10
need_work_together,10
member_un_security,10
restrictions_raw_materials,10
economic_trade_relations,10
eu-china_human_rights,10
chamber_commerce_china,10
global_economic_governance,10
trade_policy_must,10
member_states_business,10
market_access_investment,10
affect_eu_exports,10
eu_strategic_partners,10
many_european_companies,10
forced_technology_transfer,10
eu_trade_investment,10
dispute_settlement_mechanism,10
mediterranean_middle_east,10
european_commission_ursula,10
commission_ursula_von,10
can_work_together,10
economic_security_risks,9
value_chains_eu,9
member_states_industry,9
common_foreign_security,9
commission_european_parliament,9
small_medium-sized_enterprises,9
permanent_member_un,9
eu_china_also,9
one_china_policy,9
eu_work_china,9
last_five_years,9
eu_investment_china,9
billion_eu_exports,9
supply_chain_security,9
policy_towards_china,9
china_accession_wto,9
economic_social_cultural,9
integration_global_economy,9
eu_chamber_commerce,9
