Corpus,K,Semantic_Coherence,Exclusivity,Held_Out_Likelihood,Residuals,SC_sd,Exc_sd
US,10,-14.911290590148939,8.607228392559149,-6.572429690340452,1.5265150889239183,0.9269496279852748,0.05215717161799497
US,15,-16.3942923949441,8.775044013867344,-6.5512355473275,1.460924395715905,1.1404546335771177,0.05992366786907546
US,20,-17.686427214067255,8.86168661798118,-6.538126664196381,1.461446390210003,0.9644814550884367,0.036804421044626896
US,25,-19.017304474603485,8.948887175648606,-6.538954137273218,1.4835843010983063,0.9158444728349818,0.02432088753175327
US,30,-19.611634593349876,8.976604648765733,-6.555922561278673,1.527468959148612,0.6038953222961876,0.022078073553294334
EU,10,-16.925017153340224,8.773287891506644,-6.674842061910233,1.3995209043101233,1.6444820799165356,0.05711731568359226
EU,15,-18.63473309670572,8.853405252933209,-6.677544900109851,1.3839181970564265,0.6793661156054199,0.04622495401371921
EU,20,-19.568340564266684,8.914479998183344,-6.706252577618428,1.4620208322180115,1.2934893277438257,0.0406919781642278
EU,25,-20.864267296954228,8.96102666577987,-6.749633878725313,1.5869906667208002,1.0627242233005165,0.037305403724419255
EU,30,-20.72581483240732,8.985933814224536,-6.809975606994133,1.8293230652215933,0.8852433038439688,0.03556315526049052
