"","EU01","EU02","EU03","EU04","EU05","EU06","EU07","EU08","EU09","EU10","EU11","EU12","EU13","EU14","EU15"
"EU01",1,0,0,-0.112852871464779,0,0,-0.10842346823984,0,0,-0.108173744905818,0,0,0,0,0
"EU02",0,1,0,-0.110500743329173,0,0,0,0,0,0,0,0,0,0,0
"EU03",0,0,1,-0.148798808815231,-0.109356019849849,-0.102599456407938,0,0,0,-0.1062459064073,0,0,-0.102886788387092,0,0
"EU04",-0.112852871464779,-0.110500743329173,-0.148798808815231,1,0,0,-0.162501557084947,-0.125135875814392,-0.120739386795579,-0.121885845779188,-0.15828129150024,0,0,-0.123008903880855,0
"EU05",0,0,-0.109356019849849,0,1,0,-0.185522935684332,0,0,0,-0.124164285783425,0,0,0,0
"EU06",0,0,-0.102599456407938,0,0,1,0,0,0,0,0,0,0,0,-0.133838108765964
"EU07",-0.10842346823984,0,0,-0.162501557084947,-0.185522935684332,0,1,-0.117140237640113,-0.114442128331508,-0.174403071709875,0,0,-0.131765653049701,0,0
"EU08",0,0,0,-0.125135875814392,0,0,-0.117140237640113,1,0,0,0,0,0,-0.102758728315352,0
"EU09",0,0,0,-0.120739386795579,0,0,-0.114442128331508,0,1,0,0,0,0,0,0
"EU10",-0.108173744905818,0,-0.1062459064073,-0.121885845779188,0,0,-0.174403071709875,0,0,1,-0.122784148630426,-0.105073336156918,0,-0.15224181529825,0
"EU11",0,0,0,-0.15828129150024,-0.124164285783425,0,0,0,0,-0.122784148630426,1,0,0,0,0
"EU12",0,0,0,0,0,0,0,0,0,-0.105073336156918,0,1,0,0,0
"EU13",0,0,-0.102886788387092,0,0,0,-0.131765653049701,0,0,0,0,0,1,0,0
"EU14",0,0,0,-0.123008903880855,0,0,0,-0.102758728315352,0,-0.15224181529825,0,0,0,1,-0.132137185185931
"EU15",0,0,0,0,0,-0.133838108765964,0,0,0,0,0,0,0,-0.132137185185931,1
