Topic1,Topic2,Correlation,Type
EU05,EU07,-0.186,Negative
EU07,EU10,-0.174,Negative
EU04,EU07,-0.163,Negative
EU04,EU11,-0.158,Negative
EU10,EU14,-0.152,Negative
EU03,EU04,-0.149,Negative
EU06,EU15,-0.134,Negative
EU07,EU13,-0.132,Negative
EU14,EU15,-0.132,Negative
EU04,EU08,-0.125,Negative
EU05,EU11,-0.124,Negative
EU04,EU14,-0.123,Negative
EU10,EU11,-0.123,Negative
EU04,EU10,-0.122,Negative
EU04,EU09,-0.121,Negative
EU07,EU08,-0.117,Negative
EU07,EU09,-0.114,Negative
EU01,EU04,-0.113,Negative
EU02,EU04,-0.111,Negative
EU03,EU05,-0.109,Negative
EU01,EU07,-0.108,Negative
EU01,EU10,-0.108,Negative
EU03,EU10,-0.106,Negative
EU10,EU12,-0.105,Negative
EU03,EU06,-0.103,Negative
EU03,EU13,-0.103,Negative
EU08,EU14,-0.103,Negative
