year,EU01,EU02,EU03,EU04,EU05,EU06,EU07,EU08,EU09,EU10,EU11,EU12,EU13,EU14,EU15,n_docs
2001,6.6394584915903e-6,7.295496395186046e-6,3.15127974364805e-5,0.18203818806529506,0.009821216681810057,4.8142624733510706e-4,3.019074986816047e-6,4.0195053223596704e-5,3.774028076646353e-5,5.409465597281961e-4,5.621994039327133e-7,3.7272784654330956e-5,0.7416802221850358,0.06514436526630457,1.2939784913276763e-4,2
2002,4.208001234558478e-5,6.420539437220293e-5,5.048924355930873e-4,0.046843190391062724,0.346278892460508,3.7867348629924376e-4,1.4002941952059633e-4,2.4450778218222067e-4,2.428776091393561e-4,0.00570567179284837,8.88293701801495e-7,3.5253600348270374e-5,0.2712067948379456,2.473553604869261e-4,0.3280646871236463,6
2003,8.845253761112153e-5,2.551881400237854e-5,5.243015605708181e-4,0.14457738633489184,0.488070021158868,2.828649584688854e-4,1.5223091082400428e-5,2.5466264506243685e-4,2.3657727327575467e-4,0.001478420512940187,2.510362918355493e-5,7.338236305173089e-5,0.3631214211262904,2.608480598353936e-4,9.65815934865056e-4,4
2004,2.727925918525709e-4,0.07022133794219115,9.719695042774934e-4,0.1982129787239261,0.40805146110922436,0.002644139466870841,0.021485762438329996,8.920284603650217e-4,7.072600012067264e-4,0.07728078483459441,1.9134309184867707e-6,3.9304292157462994e-4,0.16198066718088167,0.0013342660533149828,0.05554959534047181,6
2005,8.180642655546886e-4,0.004597717877298667,0.0019037264525188743,0.08486789223556353,0.12156184857146354,0.08116153574254664,3.6882887047947287e-4,0.10868444494377524,0.05985982276288652,0.24600884932020486,9.915211303527656e-5,0.0032923186240233463,0.06973430423229107,7.244568951945264e-4,0.21631703709316383,6
2006,6.732744935166236e-4,8.097975668015253e-4,3.6129921146797067e-4,0.06692896557930042,0.015421573508902858,0.06936374517566332,2.3530215500742191e-4,0.3330760950219735,0.025592154495396518,0.41451183074483866,4.896261459529035e-5,1.2460923385326225e-4,0.04925066782596582,2.1725385315781747e-4,0.023384468519559262,9
2007,2.8741141502247684e-4,0.0338562156586654,0.0021240069189520155,0.08022970847156151,0.031818071841210264,0.23210687393547724,0.010901004056762692,6.117257544274174e-4,9.216818108382231e-4,0.2515842178222171,4.3997297142017655e-5,4.191238440602077e-4,0.08033273233772263,6.655834481435005e-4,0.27409764538779713,5
2008,0.03185480170803724,0.02161755369525834,6.477958716755272e-4,0.1423790691145917,0.015237720762982878,0.09235080717683783,1.7447766087671588e-4,0.1263804138377217,6.640274000728629e-4,0.5365819619482355,3.089843040207286e-4,0.028691077196721655,0.0014357068016146674,5.757235316712144e-4,0.001099878989681418,4
2009,6.436906848332841e-4,0.023971050950199836,0.004520204344989983,0.3779617613700246,0.3204915717870518,0.08965099941354485,0.0028301533771108193,0.005892103392020032,0.0013999636701719142,0.15878696220294525,2.632194567002588e-5,0.0012485426820720378,0.00671284914547733,0.004096680686106106,0.0017671443477822273,2
2010,0.04803203289448453,7.787308358289531e-4,0.0014431248540767577,0.18612104226373588,0.07136353837551733,0.07425220006052372,0.071605325501502,0.0011786442914217792,0.23957728542222217,0.191299924844787,2.0974606077542668e-4,9.978524840610604e-4,0.03496041114062065,0.0020150191332482118,0.07616512183719476,3
2011,0.11051475676882154,1.1412946665408338e-4,0.0048556716875854285,0.015836605575960238,0.09822940291671063,0.5029192323170911,0.0010587618025470523,0.002441016413484944,0.0010992006949309277,0.2143981199943237,1.3862064782146894e-4,0.008655028819874837,0.0016997347151082726,0.03760195880191385,4.377593771717141e-4,4
2012,0.11172255700793803,6.636682997472876e-4,0.01487245270034592,0.4219333204700903,0.09453426185071735,0.027234309849164997,0.007994692302124462,0.10461850211613136,0.006567326923879066,0.12137902004581874,3.38450768705992e-4,0.0012504739803144518,0.03199831100552072,0.01908944344564846,0.03580320923385286,9
2013,0.23289650344709045,3.633273227229521e-4,0.03972885124951227,0.2819643946824414,0.11052227125711445,0.012584115150308672,0.0034669384877411454,2.4648701221468265e-4,0.001725059446905961,0.2375652072844098,3.7494989547592276e-4,0.014893760588824348,0.014298473948168026,0.005108597628881398,0.04426106259818853,4
2014,0.134192377298776,4.4387280735186515e-4,0.04348832816656455,0.17741446672996977,0.1143858372648979,0.007178831196960574,0.001682597488181893,0.01839022352858237,0.23116337057109873,0.14771746192975072,0.003655556298357746,0.04133301762395823,9.632233094157767e-4,0.02005086609325781,0.05793996969287608,7
2015,0.21819804573823443,1.1091919096046647e-4,0.014319794125761539,0.3354013899342004,0.03708830144175097,0.004638911382536637,0.003929364022018053,2.3855954980295222e-4,0.24730757451466112,0.02045745990409883,6.282834288933561e-4,0.029716804015556753,7.533836588831827e-4,0.008372725755822374,0.07883848333681934,4
2016,7.682312825017768e-4,0.21229742098833795,0.0015659110874115575,0.20076396683908737,0.0019383859954154646,0.02721079831752251,0.0014953613391136924,0.2721196040048096,0.01804332669698561,9.102077879338597e-4,0.011505644445305553,0.004039877637594712,0.08024376357595601,0.1667775543559336,3.1994564609048295e-4,4
2017,4.103033782864989e-4,0.0015196713896277762,0.0768240487827944,0.27344512441239144,0.14513558329016676,0.008013537702111887,0.022987824743089993,4.8328166928341e-4,9.010995853447868e-4,0.13160195898257007,7.604871120886009e-4,0.1980315491959388,0.0012809234327955722,0.13314721747338504,0.005457388850125149,5
2018,0.0016502269298590206,0.009862410965022543,0.42644636826892424,0.28168438279134417,0.007920518253546198,0.0019507745371906645,0.002961862346035654,0.0018062380859743946,6.089101091568078e-4,0.03311222558612114,0.001405433955160326,0.17393869722055239,0.0034974835058622336,0.052184117173489725,9.703502717604072e-4,6
2019,6.29708427501091e-4,4.2271763847132895e-4,0.23683110602561494,0.004663303892744432,0.03117268537373144,0.02509490330490957,8.958004604317645e-4,0.0052643400330850765,0.0020707964027086054,0.003156465281862152,0.09539268339695268,0.19737284067870403,8.238023647593068e-4,0.3960213372531128,1.8750946541082802e-4,5
2020,0.007855845922026511,0.003398531390464561,0.11855419806592885,0.04219539495812867,0.021094949072127205,0.041921676085391484,0.028704833540711613,0.02463930656851736,0.002861296202621934,0.001444720326353632,0.055915412586499215,0.096348711348327,8.62345367290367e-4,0.5538770078198423,3.257707457693835e-4,11
2021,0.10899209069734063,0.13518096025665488,0.07044238765498859,0.001135353618476696,0.0028727928356067477,0.0018267159107132414,0.09145665409589217,3.969634164592761e-4,0.405200969032839,6.834854224685146e-4,0.15505239289879652,8.404643409157354e-4,2.469226575207001e-4,0.023674149875003686,0.001997697286323449,4
2022,0.02663623096223648,0.0014111471845067508,0.07808461895476439,0.071144651404953907,0.025565791608082887,0.183840335466998,0.43051419989215883,4.469889576407812e-4,0.003246189357361729,0.004377208233344965,0.011128496275077239,0.030467684112212144,3.5780766979081756e-4,0.13213931981684482,6.39330104026232e-4,5
2023,0.0021943240986679476,0.059727462699047724,0.05802025116851989,0.04743679710634118,5.077810114821715e-4,0.06467078631713546,0.5183612747826495,4.217047018451332e-5,0.001281882421287399,0.017193292252057627,0.1252331710248315,0.0050244944336536755,0.0020064374203238524,0.07808551479305328,0.020214360000764497,13
2024,0.00571019611258772,0.0053296229673828665,0.057413848669097794,0.0013596759442752108,4.2747457477401626e-5,0.001803587340386905,0.3291079974494402,4.241851991471592e-5,8.866264378859631e-4,0.007655034537656183,0.5863433573255975,2.8431158579506225e-5,2.1228459306469222e-4,0.001394607359839136,0.0026695641268142654,4
2025,0.013602894177514547,0.13307782399636067,0.13072476673988379,0.04091816055372223,0.0017328271617503186,0.015975610386315328,0.358895693018062,1.1342894946964936e-4,0.025758093714096743,0.028317071338639383,0.13888694976675672,0.00131821260766076,7.387786390175979e-5,0.08214835206323379,0.02845623766263236,11
