preText_score,preprocessing_steps
0.09854621031746032,P-N-L-S-W-I-3
0.10979053571428571,N-L-S-W-I-3
0.09996548015873016,P-L-S-W-I-3
0.09890946825396825,L-S-W-I-3
0.10088087698412698,P-N-S-W-I-3
0.1097909007936508,N-S-W-I-3
0.10088387698412699,P-S-W-I-3
0.09890842857142858,S-W-I-3
0.11358753571428572,P-N-L-W-I-3
0.13353504761904764,N-L-W-I-3
0.11366564285714285,P-L-W-I-3
0.11659952380952382,L-W-I-3
0.11358753571428572,P-N-W-I-3
0.13353504761904764,N-W-I-3
0.11366564285714285,P-W-I-3
0.11659952380952382,W-I-3
0.17714622222222223,P-N-L-S-I-3
0.15257582142857143,N-L-S-I-3
0.17744235714285714,P-L-S-I-3
0.14054335317460318,L-S-I-3
0.17714553968253968,P-N-S-I-3
0.15257617063492063,N-S-I-3
0.17740707936507938,P-S-I-3
0.1424654365079365,S-I-3
0.17787494047619049,P-N-L-I-3
0.16216994444444444,N-L-I-3
0.17788138095238096,P-L-I-3
0.15807680952380954,L-I-3
0.17787494047619049,P-N-I-3
0.16216994444444444,N-I-3
0.17788138095238096,P-I-3
0.15807680952380954,I-3
0.1007238492063492,P-N-L-S-W-3
0.0891353492063492,N-L-S-W-3
0.10018994444444444,P-L-S-W-3
0.09038837698412698,L-S-W-3
0.09994332936507937,P-N-S-W-3
0.09076753571428571,N-S-W-3
0.09931171428571428,P-S-W-3
0.09038778968253969,S-W-3
0.1137727380952381,P-N-L-W-3
0.09755505158730159,N-L-W-3
0.11319267857142858,P-L-W-3
0.08981872222222222,L-W-3
0.1137727380952381,P-N-W-3
0.09755505158730159,N-W-3
0.11319267857142858,P-W-3
0.08981872222222222,W-3
0.1752020119047619,P-N-L-S-3
0.1076450753968254,N-L-S-3
0.1736957023809524,P-L-S-3
0.10582459920634921,L-S-3
0.17611696031746032,P-N-S-3
0.10707302777777777,N-S-3
0.17444145634920635,P-S-3
0.10582404365079365,S-3
0.1762650634920635,P-N-L-3
0.11350695238095238,N-L-3
0.1753688611111111,P-L-3
0.11470883333333333,L-3
0.1762650634920635,P-N-3
0.11350695238095238,N-3
0.1753688611111111,P-3
0.11470883333333333,3
0.10309206746031746,P-N-L-S-W-I
0.11394038888888888,N-L-S-W-I
0.10247654365079364,P-L-S-W-I
0.11299168253968253,L-S-W-I
0.10247561507936508,P-N-S-W-I
0.11394003968253968,N-S-W-I
0.10247707539682539,P-S-W-I
0.11299144444444444,S-W-I
0.11881988492063492,P-N-L-W-I
0.12116683333333333,N-L-W-I
0.11910602380952381,P-L-W-I
0.11860001190476191,L-W-I
0.11881988492063492,P-N-W-I
0.12116683333333333,N-W-I
0.11910602380952381,P-W-I
0.11860001190476191,W-I
0.17448836507936508,P-N-L-S-I
0.16795747619047618,N-L-S-I
0.1752110753968254,P-L-S-I
0.1427402857142857,L-S-I
0.17448611904761904,P-N-S-I
0.1743447896825397,N-S-I
0.1752944246031746,P-S-I
0.1462902142857143,S-I
0.1770214007936508,P-N-L-I
0.2697254722222222,N-L-I
0.17702254365079365,P-L-I
0.2512488214285714,L-I
0.1770214007936508,P-N-I
0.2697254722222222,N-I
0.17702254365079365,P-I
0.2512488214285714,I
0.10309098015873015,P-N-L-S-W
0.11174219841269842,N-L-S-W
0.10270424206349206,P-L-S-W
0.11051322222222222,L-S-W
0.1036395357142857,P-N-S-W
0.11174203174603174,N-S-W
0.1024764007936508,P-S-W
0.11051314285714287,S-W
0.1202638253968254,P-N-L-W
0.11798382936507937,N-L-W
0.12003440476190476,P-L-W
0.11871130555555555,L-W
0.1202638253968254,P-N-W
0.11798382936507937,N-W
0.12003440476190476,P-W
0.11871130555555555,W
0.1744876507936508,P-N-L-S
0.1614935873015873,N-L-S
0.17554957142857142,P-L-S
0.14026717857142856,L-S
0.17474708333333333,P-N-S
0.16384599603174604,N-S
0.17569555158730157,P-S
0.14309314285714286,S
0.17728156746031745,P-N-L
0.1643001388888889,N-L
0.17702205952380953,P-L
0.1724739126984127,L
0.17728156746031745,P-N
0.1643001388888889,N
0.17702205952380953,P
